,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
132,marco 2015,1.15 Soja,Parana,5203665.0,,16998875.0,3267.0,18.27,75.23,649.29,0.83
133,marco 2015,1.17 Trigo,Parana,1350070.0,,4045343.0,2996.0,18.27,75.23,649.29,0.83
134,marco 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,18.27,75.23,649.29,0.83
135,abril 2015,1.4 Arroz,Parana,28438.0,,163885.0,5763.0,16.03,40.63,734.19,1.11
136,abril 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,16.03,40.63,734.19,1.11
137,abril 2015,1.9 Feijao (2 Safra),Parana,218982.0,,430544.0,1966.0,16.03,40.63,734.19,1.11
138,abril 2015,1.10 Feijao (3 Safra),Parana,4913.0,,5262.0,1071.0,16.03,40.63,734.19,1.11
139,abril 2015,1.13 Milho (1 Safra),Parana,542919.0,,4671246.0,8604.0,16.03,40.63,734.19,1.11
140,abril 2015,1.14 Milho (2 Safra),Parana,1892143.0,,10047801.0,5310.0,16.03,40.63,734.19,1.11
141,abril 2015,1.15 Soja,Parana,5206901.0,,17147805.0,3293.0,16.03,40.63,734.19,1.11
142,abril 2015,1.17 Trigo,Parana,1356320.0,,4070420.0,3001.0,16.03,40.63,734.19,1.11
143,abril 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,16.03,40.63,734.19,1.11
144,maio 2015,1.4 Arroz,Parana,28144.0,,164543.0,5846.0,15.41,66.97,779.93,1.43
145,maio 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,15.41,66.97,779.93,1.43
146,maio 2015,1.9 Feijao (2 Safra),Parana,213785.0,,400738.0,1874.0,15.41,66.97,779.93,1.43
147,maio 2015,1.10 Feijao (3 Safra),Parana,5238.0,,6119.0,1168.0,15.41,66.97,779.93,1.43
148,maio 2015,1.13 Milho (1 Safra),Parana,542419.0,,4679671.0,8627.0,15.41,66.97,779.93,1.43
149,maio 2015,1.14 Milho (2 Safra),Parana,1893493.0,,10390011.0,5487.0,15.41,66.97,779.93,1.43
150,maio 2015,1.15 Soja,Parana,5206901.0,,17147805.0,3293.0,15.41,66.97,779.93,1.43
151,maio 2015,1.17 Trigo,Parana,1322503.0,,3959259.0,2994.0,15.41,66.97,779.93,1.43
152,maio 2015,15 Fumo,Parana,78189.0,,184636.0,2361.0,15.41,66.97,779.93,1.43
153,junho 2015,1.4 Arroz,Parana,28144.0,,164543.0,5846.0,15.54,51.45,865.62,1.52
154,junho 2015,1.8 Feijao (1 Safra),Parana,192762.0,,332147.0,1723.0,15.54,51.45,865.62,1.52
155,junho 2015,1.9 Feijao (2 Safra),Parana,209915.0,,392083.0,1868.0,15.54,51.45,865.62,1.52
156,junho 2015,1.10 Feijao (3 Safra),Parana,5238.0,,6119.0,1168.0,15.54,51.45,865.62,1.52
157,junho 2015,1.13 Milho (1 Safra),Parana,542386.0,,4688823.0,8645.0,15.54,51.45,865.62,1.52
158,junho 2015,1.14 Milho (2 Safra),Parana,1914368.0,,10782264.0,5632.0,15.54,51.45,865.62,1.52
159,junho 2015,1.15 Soja,Parana,5207082.0,,17145020.0,3293.0,15.54,51.45,865.62,1.52
160,junho 2015,1.17 Trigo,Parana,1324048.0,,3959722.0,2991.0,15.54,51.45,865.62,1.52
